"Published At","URL","Media URL","Media Type","Likes","Comments","Caption"
"2023-11-08 16:13:16","https://www.instagram.com/p/CzZC8KZN25h/","https://scontent-cdg4-1.cdninstagram.com/v/t51.29350-15/400128930_1698333244020110_3044683875054726485_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=102&_nc_ohc=csh7-x6FCpsQ7kNvgFT5cOm&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIzMTYyNzEzMzM4OTY3NjMyMA%3D%3D.2-ccb7-5&oh=00_AYCAS62okHmD0mR4EhVA5UwRgX_U4yyIuJ9xTX3v04OVbg&oe=6662B82C&_nc_sid=8b3546","Image","3558","174","⚫ Il s’appelait Maysara Rayyes. Il avait 28 ans, était médecin urgentiste et chez Médecins du Monde depuis deux ans en tant que superviseur médical. À Gaza, en Palestine. Disparu depuis plusieurs jours, nous avons eu il y a peu la confirmation que Maysara et sa famille ont été tués lors du bombardement de son immeuble survenu à Gaza City, le 5 novembre 2023. 
 
Après le bombardement de sa maison, Maysara, sa famille et d’autres Gazaouis sont restés plus de 48h sous les décombres. L’arrivée des bulldozers a été retardée faute de carburant, pourtant indispensable aux hôpitaux, ambulances et activités de recherche. La mission de sauvetage a par la suite dû être interrompue à cause des bombardements sévissant dans la zone. Le bilan provisoire actuel mais évolutif est estimé à 14 victimes. 

Nous exprimons toutes nos condoléances et notre compassion à ses proches et à notre équipe sur place, qui vivent déjà de terribles épreuves depuis plusieurs semaines. 

« Aujourd’hui nous avons perdu l’un des nôtres ainsi que des membres de sa famille. […] Ce drame aurait pu être évité si un cessez-le-feu avait été instauré comme nous le demandons depuis plusieurs semaines maintenant. » Florence Rigal, présidente de Médecins du Monde. 

#CeaseFireNOW #NotATarget #DIH #Palestine #Gaza #GazaUnderAttack #DroitHumanitaire #DroitdelaGuerre #Urgence #CessezLeFeu #MédecinsduMonde"
"2023-10-12 08:14:43","https://www.instagram.com/p/CySqtdJt-BT/","https://scontent-cdg4-3.cdninstagram.com/v/t51.29350-15/390954457_2065870340428698_4859234413085076541_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=AnXgJufw4NQQ7kNvgFHySzf&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIxMTgxNzMyMDA1MzA3MzczMA%3D%3D.2-ccb7-5&oh=00_AYCL2XImY0lZeiLnzA2HGUr5PkGF_f7G2VDe6q2Z9_jjUg&oe=6662BD4C&_nc_sid=8b3546","Image","2681","103","𝐌𝐨𝐲𝐞𝐧-𝐎𝐫𝐢𝐞𝐧𝐭 : 𝐩𝐨𝐮𝐫 𝐥𝐞 𝐫𝐞𝐬𝐩𝐞𝐜𝐭 𝐝𝐮 𝐝𝐫𝐨𝐢𝐭 𝐢𝐧𝐭𝐞𝐫𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐡𝐮𝐦𝐚𝐧𝐢𝐭𝐚𝐢𝐫𝐞 ❕

🔴 Face à l'escalade de violences en territoire palestinien occupé et en Israël, Médecins du Monde condamne formellement toute attaque sur les 𝐩𝐨𝐩𝐮𝐥𝐚𝐭𝐢𝐨𝐧𝐬 𝐞𝐭 𝐢𝐧𝐟𝐫𝐚𝐬𝐭𝐫𝐮𝐜𝐭𝐮𝐫𝐞𝐬 𝐜𝐢𝐯𝐢𝐥𝐞𝐬. Nous appelons à protéger également les 𝐚𝐜𝐭𝐞𝐮𝐫𝐬 𝐝𝐞 𝐬𝐚𝐧𝐭𝐞́ et à respecter le 𝐝𝐫𝐨𝐢𝐭 𝐢𝐧𝐭𝐞𝐫𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐡𝐮𝐦𝐚𝐧𝐢𝐭𝐚𝐢𝐫𝐞 de manière inconditionnelle. 

🚨 Nous préparons une 𝐫𝐞́𝐩𝐨𝐧𝐬𝐞 𝐝’𝐮𝐫𝐠𝐞𝐧𝐜𝐞 auprès des civils palestiniens sous blocus tout en préservant la 𝐬𝐞́𝐜𝐮𝐫𝐢𝐭𝐞́ 𝐝𝐞 𝐧𝐨𝐬 𝐞́𝐪𝐮𝐢𝐩𝐞𝐬, qui se trouvent actuellement dans les quartiers ciblés par les bombardements. 𝐍𝐨𝐮𝐬 𝐬𝐨𝐦𝐦𝐞𝐬 𝐞𝐱𝐭𝐫𝐞̂𝐦𝐞𝐦𝐞𝐧𝐭 𝐢𝐧𝐪𝐮𝐢𝐞𝐭𝐬 𝐩𝐨𝐮𝐫 𝐥𝐞𝐮𝐫 𝐯𝐢𝐞 𝐞𝐭 𝐥𝐞𝐮𝐫 𝐬𝐞́𝐜𝐮𝐫𝐢𝐭𝐞́.
.
.
📸 © AHMAD HASABALLAH - GETTY IMAGES via AFP

#Gaza #Israel #Palestine #GazaUnderAttack #IsraelUnderAttack #Urgence #crise #conflit #Hamas #santé #corridorhumanitaire #acteursdesanté #MédecinsduMonde"
"2023-11-08 11:59:14","https://www.instagram.com/p/CzYl3kdI16r/","https://scontent-cdg4-2.cdninstagram.com/v/t39.30808-6/400191675_735867295238856_1235610490856870314_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=100&_nc_ohc=7MutCcegCpUQ7kNvgHM0xyO&edm=AOQ1c0wAAAAA&ccb=7-5&ig_cache_key=MzIzMTQ5OTE4OTQ0MTcxMjUwMw%3D%3D.2-ccb7-5&oh=00_AYBbIlV57G-QYA653ut0rtwx0wjOv39D6FVC8uLf3i60pA&oe=666292ED&_nc_sid=8b3546","Image","4428","74","⚠ Médecins du Monde est atterrée par la décision prise hier soir par une majorité au Sénat de supprimer l'Aide médicale d'Etat.

Nous alertons sur l’instrumentalisation de ce dispositif essentiel de santé publique, gravement menacé par le projet de loi immigration, et dénonçons les discours mensongers à son égard :

❌ L’AME est accusée de susciter du ""tourisme médical"". Or, même après 5 ans de résidence en France, 35% des personnes sans titre de séjour n’y ont pas accès en raison d'obstacles administratifs et de manque d'information. 

❌ L’AME exclut les dépassements d’honoraires. En pratique, cela signifie que des soins essentiels tels que les prothèses dentaires, auditives ou encore l’optique sont inaccessibles aux bénéficiaires de l’AME. 

❌ L’AME concerne les personnes sans-papiers les plus précaires. Ce sont celles et ceux qui prennent soin de nos enfants, de nos aînés, qui entretiennent nos villes, qui cuisinent ou livrent nos repas. 

✊ Face aux sermons hypocrites, Médecins du Monde rappelle le serment d’Hippocrate. Vouloir supprimer l’AME est un non-sens en matière de santé publique. 
C'est accepter l’idée de laisser la santé des personnes s'aggraver. 

En savoir plus sur ➡ www.hypocritesvshippocrate.com
 

#hypocritesvshippocrate #AME #AidemédicaledEtat #SantépourTous #France #PJLImmigration #LoiAsileImmigration #Sénat #DirectAN #MédecinsduMonde"
"2023-12-29 16:05:02","https://www.instagram.com/p/C1cWiYINT8E/","https://scontent-cdg4-2.cdninstagram.com/v/t39.30808-6/415804825_18406504372018429_2569063558093693770_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=101&_nc_ohc=28r_T1qphbgQ7kNvgF-cCBw&edm=APU89FAAAAAA&ccb=7-5&oh=00_AYBGSPmjrpttaDrbZJTWFwYjCtA1AaFHXtz0jtTNJ3TGkg&oe=6662BDF0&_nc_sid=bc0c2c","Image","453","28","À Gaza, le désastre humanitaire en cours. 

“Un mélange toxique de maladies, de faim, de manque d’hygiène et d’assainissement”.
Outre les violences et bombardements, c’est, selon le directeur général de l’OMS Tedros Adhanom Ghebreyesus, ce que subit la population de Gaza.

Près de 3 mois après le début du conflit, le constat humanitaire est dramatique :

❌ Près d’1,9 million de déplacés, vivant dans des abris sursaturés dans des conditions de promiscuité dangereuses 

❌ Manque d’accès à l’eau traitée et aux infrastructures d’hygiène

❌ 170 000 infections respiratoires et plus de 125 000 cas de diarrhée recensés, particulièrement parmi les enfants de moins de 5 ans, et une recrudescence des cas de varicelle, de jaunisse et de méningite

❌ 48% de la population souffrant de faim sévère dans le nord de la bande de Gaza, comme 38% des déplacés dans le sud 

❌ Des conditions météo de plus en plus difficiles en ce début d’hiver, propices à la circulation des virus respiratoires

Autant d’indicateurs présageant d’une dégradation de la santé des gazaouis ces prochaines semaines, alors que le système de santé est à terre : selon l’OMS, seuls 9 des 36 centres de santé de Gaza restent partiellement opérationnels.

“On ne peut rien faire dans les conditions actuelles avec cette magnitude de blessés, de malades et sans moyens”, dénonce Helena Ranchal. “Il faut que tout cela s’arrête.”

#CEASEFIRENOW

#Gaza #Palestine #Israël #Gazaunderattack #urgencehumanitaire #Cessezlefeu #Cessezlefeumaintenant #MédecinsduMonde

Sources : ONU / PAM / OMS"
"2023-12-27 16:45:24","https://www.instagram.com/p/C1XRidyhcJ8/","https://scontent-cdg4-2.cdninstagram.com/v/t51.29350-15/417543370_1048113039771963_6449911569893368982_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=103&_nc_ohc=tT9a635xV88Q7kNvgGRdEb7&edm=APU89FABAAAA&ccb=7-5&oh=00_AYCx6Ck-M6ItXv6s2Af5PFgW8zzF5qAHcZaj_g2YVJaE4g&oe=665EAF34&_nc_sid=bc0c2c","Video","106","1","""Le CASA m'a donné comme une seconde chance."" 

En Côte d’Ivoire 🇨🇮, le cadre légal concernant l’usage de drogues a été longtemps extrêmement répressif. Ce n’est que depuis 2022 que la législation ivoirienne a adopté une approche plus sanitaire auprès des consommateurs, fruit d’un plaidoyer porté par plusieurs associations de terrain dont Médecins du Monde. 

❌ Pourtant, les personnes usagères de drogues sont encore très souvent stigmatisées et exclues des soins. 

Dans une démarche communautaire de promotion de la santé et afin de lutter contre les risques épidémiques, nos équipes interviennent auprès de ce public depuis plus de 9 ans à Abidjan. 

➡️ Grâce à cet accompagnement, Ezéchiel, Jean-Claude, Majda* (prénom modifié) ont appréhendé différemment leur mode de consommation. Ils témoignent. 

🎥 Retrouvez leurs témoignages en entier sur Youtube 👉 lien en story 

 
#RCI #SupportDontPunish #Usagededrogues #drogues #Méthadone #RéductionDesRisques  #CôtedIvoire #Reportage #SurleTerrain #MédecinsduMonde"
"2023-12-21 18:24:40","https://www.instagram.com/p/C1IAKKsNyJm/","https://scontent-cdg4-3.cdninstagram.com/v/t51.29350-15/412457358_1041124737104202_3899915933157577589_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=106&_nc_ohc=akktW59pDRQQ7kNvgFt99mY&edm=APU89FABAAAA&ccb=7-5&oh=00_AYAdpKuSn8sAOurB3xoT4ltv2VkKvMp0D_dhy6AgXUP8Eg&oe=6662BD40&_nc_sid=bc0c2c","Image","1613","31","""Nous sommes et resterons déterminés à défendre un autre modèle de société, loin du rejet et de la haine de l’autre."" 

Aux côtés de 46 autres organisations, nous appelons à ne pas promulguer la Loi Immigration et à continuer la mobilisation.

Appel à découvrir sur notre site web.
.
.
#PJLImmigration #Migration #MédecinsduMonde"
"2023-12-18 15:26:44","https://www.instagram.com/p/C0_9aVENvif/","https://scontent-cdg4-2.cdninstagram.com/v/t51.29350-15/412177954_371406881941855_7590715956464092751_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=107&_nc_ohc=ycDaN1x2zSIQ7kNvgE09XsX&edm=APU89FABAAAA&ccb=7-5&oh=00_AYDDcUIT0s66Ni6S1fe8pwVZ2026UKpLSnTZ5XNRTrkWoA&oe=666297F6&_nc_sid=bc0c2c","Image","181","2","🌎 Chaque année, des centaines de milliers de personnes traversent « l'enfer vert », une dense forêt tropicale, frontière naturelle entre la Colombie et le Panama.

⚠️ Les conditions climatiques extrêmes, mais également les nombreuses violences auxquelles font face les personnes exilées, en font une des routes migratoires les plus dangereuses au monde.

➡️ Face à cette crise, @medecinsdumonde mène une mission à l’entrée du Darién afin de fournir des services médicaux aux personnes exilées qui se préparent à traverser.

📢 A l'occasion de la Journée mondiale des personnes migrantes, nous rappelons que des actions concrètes sont nécessaires afin de répondre aux enjeux de la crise humanitaire au cœur de la jungle du Darién.

« L’enfer vert du Darién : une crise humanitaire oubliée » à découvrir sur notre site web.
© Lucile Leverrier
.
.
#JournéeMondialedesmigrants #migrantsday #Colombie #Panama #Darién #migration #Colombia #Crisehumanitaire #MédecinsduMonde"
"2023-12-15 12:35:27","https://www.instagram.com/p/C036vKit15A/","https://scontent-cdg4-3.cdninstagram.com/v/t51.29350-15/411031462_385813907443175_6271306338817663118_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_ohc=7NTHdPIRUFkQ7kNvgFlci2T&edm=APU89FABAAAA&ccb=7-5&oh=00_AYDolUsceAZEgNi0udeMku3RW-cc9OWTYhNinCzyOPmWCA&oe=665EC1AD&_nc_sid=bc0c2c","Video","471","8","Le collectif @lereversdelamedaille_paris2024, dont @medecinsdumonde fait partie, s’est réuni ce matin afin d’alerter sur les risques des Jeux Olympiques et Paralympiques 2024.

👇👇👇

Alors que le nombre de personnes à la rue augmente, nos associations interpellent les pouvoirs publics pour la mise en place d’un plan d’urgence à l’approche des Jeux.

➡️ Plus d’infos sur www.lereversdelamedaille.fr
 
#reversdelamédaille #JO2024 #Bidonville #Squat #Mallogement #Solidarité #Association #Paris #MédecinsduMonde"
"2023-12-10 10:00:00","https://www.instagram.com/p/C0qxuQINquK/","https://scontent-cdg4-2.cdninstagram.com/v/t39.30808-6/409035370_18402569527018429_3801204829589239753_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=101&_nc_ohc=xDXS5CIdUrwQ7kNvgG5bKkV&edm=APU89FAAAAAA&ccb=7-5&oh=00_AYCMLhfa8vXOP51unZLbPTUnKaKQpOSSgGvXDbWHCLDm-A&oe=6662A8F2&_nc_sid=bc0c2c","Image","846","25","Droit à la vie 

Droit à la sûreté 

Droit à la dignité humaine 

Droit au respect de son corps 
 
Tant de droits universels et inaliénables pourtant bafoués dans la bande de Gaza, en Cisjordanie et en Israël, où se déroulent des exactions, violences et privations innommables depuis plus de deux mois, sans respect pour le droit international humanitaire. 

Face à cette violation permanente des droits humains, nous ne cesserons de rappeler aux chefs d'États leur responsabilité d'œuvrer pour acter un cessez-le-feu immédiat et durable, seule solution pour sauver les vies de demain.

#HumanRightsDay #Gaza #CeaseFireNow #GazaUnderAttack #NotATarget #DIH #Palestine #Territoirepalestinien #Cisjordanie #DroitHumanitaire #DroitdelaGuerre #Urgence #CessezLeFeu #medecinsdumonde"
"2023-12-07 15:33:58","https://www.instagram.com/p/C0jpWkeJTHN/","https://scontent-cdg4-3.cdninstagram.com/v/t51.29350-15/408984902_2243052365890624_8371863254578350539_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=104&_nc_ohc=ASxp7mCjPTgQ7kNvgG93aWZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AYCstbz8ueSNyWYFe_0jI2w7-VjxHN7_6iNJLkL5KHMFSA&oe=665EBA44&_nc_sid=bc0c2c","Video","10013","152","ON S’EN FOUT de leur apparence, 
On s'en fout de leurs origines, de leur religion ou de leur ethnie. 
 
ON S’EN FOUT s’ils ne parlent pas la même langue. 
Si ce qu’ils font n’est pas légal, ou si ça peut sembler immoral. 
 
ON S’EN FOUT s’ils n’ont pas de papiers. S’ils ne veulent plus jamais repartir. 
On s'en fout s’ils sont à l’autre bout du monde. 
 
Tout ce qui compte pour nous c’est leur santé. 
 
En savoir plus sur www.medecinsdumonde.org (lien dans la bio) 
 
#ONSENFOUT 
@orelsan @marcelagency 
. 
. 
#Onsenfout #Association #Humanitaire #Campagne #LaSantéavantTout #MédecinsduMonde"
"2023-12-06 17:06:00","https://www.instagram.com/p/C0hPO1kNqFq/","https://scontent-cdg4-2.cdninstagram.com/v/t51.29350-15/407675161_888747645900084_2814657452244108648_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=100&_nc_ohc=AnGppDMsXKMQ7kNvgHwpqOO&edm=APU89FABAAAA&ccb=7-5&oh=00_AYCQc1PvWGxNdKoN4291SzZKEIM0mJLTX2VzmHvOxgf-AQ&oe=6662A8D5&_nc_sid=bc0c2c","Image","132","0","#Népal 🇳🇵 

Au Népal, 80% des structures de santé de la province de Karnali (districts de Jajarkot et de Rukum) ont été touchées par un séisme de magnitude 6,4. C’est le plus grave séisme recensé depuis 2015 dans le pays.

❗ Plus de 250 000 personnes ont besoin d’assistance humanitaire. 

➡️ @medecinsdumonde met en place une réponse d’urgence.

#Népal #Séisme #Tremblementdeterre #Earthquake #Urgence #Santé #CriseHumanitaire #MédecinsduMonde"
"2023-12-06 10:44:19","https://www.instagram.com/p/C0gjjVCtTpi/","https://scontent-cdg4-1.cdninstagram.com/v/t51.29350-15/408338775_568128728833133_8521859471791390001_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=105&_nc_ohc=HHGuF-zc3P0Q7kNvgFtc34-&edm=APU89FABAAAA&ccb=7-5&oh=00_AYBAinxaOpiCRTvzlNH1gw22JyIXOld8N1uAbZ-ikN2CGA&oe=6662989F&_nc_sid=bc0c2c","Image","141","2","Entre performances d’art urbain, concert, scène d’éloquence et autres moments de rencontres et d’échanges, nos équipes ont passé un week-end inoubliable à vos côtés. 

🙏 Merci à toutes celles et ceux venus découvrir cette première édition de @lesgrosmauxfestival !

📷 Sébastien Dolidon
.
.
#desmotssurdesmaux #FestivaldesGrosMaux #GrosMauxFestival #plumeengagée #arturbain #Festival #streetart #exposition #culture #ecriture #Littérature #concoursdecriture #streetart #concert"
"2023-12-04 16:45:51","https://www.instagram.com/p/C0cDVdqN0wT/","https://scontent-cdg4-2.cdninstagram.com/v/t39.30808-6/408268317_18401817724018429_2156620339222582462_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=101&_nc_ohc=U8h_UtFcAWoQ7kNvgE68h67&edm=APU89FAAAAAA&ccb=7-5&oh=00_AYBPUh86n0rMV5VZ8YlMm3xCYN4sYd5I3tk-hq2zrZMJfw&oe=66629835&_nc_sid=bc0c2c","Image","900","29","🔴 Gaza : combien de civils devront encore mourir avant que la communauté internationale ne se rassemble autour d’un appel à un cessez-le-feu permanent ? 
 
Avec la reprise des hostilités et la menace d'opérations terrestres israéliennes dans le sud de la bande de Gaza, Médecins du Monde est extrêmement préoccupée par les conditions de vie de la population dans l’enclave assiégée. 
 
Alors que plus de 15 000 personnes ont déjà été tuées, les 2,3 millions habitants de l’enclave sont menacés par les opérations militaires, mais aussi par l’effondrement total du système de santé, la famine, la consommation d’eau contaminée et la propagation de maladies contagieuses. 
 
#Gaza #CeaseFireNow #GazaUnderAttack #NotATarget #DIH #Palestine #Territoirepalestinien #Cisjordanie #DroitHumanitaire #DroitdelaGuerre #Urgence #CessezLeFeu #medecinsdumonde"
"2023-11-29 18:03:47","https://www.instagram.com/p/C0PUK1TL2ED/","https://scontent-cdg4-3.cdninstagram.com/v/t51.29350-15/404904207_200673689759243_4635105380265669851_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_ohc=tpAQfjcj_BcQ7kNvgF8PYwK&edm=APU89FABAAAA&ccb=7-5&oh=00_AYAjNs7CxLTaLBiyRxg905v9SBn5wPTyW3rUfViQqz9cGA&oe=665EB3CF&_nc_sid=bc0c2c","Video","509","22","🔴 En cette Journée internationale de solidarité avec le peuple palestinien, Médecins du Monde appelle les États à transformer la trêve en cours en un cessez-le-feu permanent.

15 000 morts déjà. Pour protéger les civils, un cessez-le-feu durable est la seule solution.

#CeaseFireNOW #Gaza #Palestine #NotATarget #War #Crisehumanitaire #Urgence #santémentale #medecinsdumonde"
