id,object,result_position,bookmarks_count,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,content,internal_unique_id,is_retweeted,is_quoted,likes,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,name,original_tweet_url,original_tweet_id,published_at,quote_count,retweet_count,reply_count,tweet_url,user_id,username,views_count,collected_at,input_url
"171913","result","1","0",,,,,,"#MSF poursuit ses activités dans plusieurs régions du Soudan, notamment à Khartoum, Omdurman, dans le Nil blanc et le Nil bleu, à Al Gedaref et au Darfour.","1740749876424773988","f","f","4",,,,,,,,,,,,,"MSF France",,,"2023-12-29 15:01:26+00","0","2","0","https://twitter.com/MSF_france/status/1740749876424773988","14755217","MSF_france","848","2024-06-06 18:25:15.497179+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"171914","result","2","0",,,,,,"Suite à l'escalade de la violence et à la prise de contrôle par les Forces de Soutien Rapide, 300 000 personnes ont fui la ville selon l'ONU. Beaucoup de ceux qui ont trouvé refuge à Wad Madani sont forcés de fuir une 2e fois dans un contexte où les violences persistent.","1740749874495430897","f","f","5",,,,,,,,,,,,,"MSF France",,,"2023-12-29 15:01:26+00","0","2","1","https://twitter.com/MSF_france/status/1740749874495430897","14755217","MSF_france","824","2024-06-06 18:25:15.909562+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"171915","result","3","0",,,,,,"« 18 patients sont actuellement hospitalisés, et la capacité d’hospitalisation est en train d’augmenter. 598 consultations ont également été assurées depuis le 17 décembre », précise Jacob Burns, coordinateur de projet MSF.","1740417820889161819","f","f","9",,,,,,,,,,,,,"MSF France",,,"2023-12-28 17:01:58+00","0","1","0","https://twitter.com/MSF_france/status/1740417820889161819","14755217","MSF_france","813","2024-06-06 18:25:16.340734+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"171916","result","4","0",,,,,,"Des soins postopératoires sont prodigués aux patients grièvement blessés, dont beaucoup ont été référés par d'autres établissements tels que l'hôpital Nasser et l'hôpital européen de Gaza.","1740417819031060654","f","f","9",,,,,,,,,,,,,"MSF France",,,"2023-12-28 17:01:58+00","0","4","1","https://twitter.com/MSF_france/status/1740417819031060654","14755217","MSF_france","960","2024-06-06 18:25:16.767644+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"171917","result","5","20",,,,,,"Ceci est le dessin fait par un patient de 13 ans à #Gaza : « C'est une réalité tout simplement inimaginable pour un enfant de cet âge » confie Audrey Mc Mahon, psychiatre #MSF. https://t.co/aenEl0PnOi","1739660967095452125","f","f","573","https://pbs.twimg.com/ext_tw_video_thumb/1739640937058299904/pu/img/gt75XC5BAU5M_dXU.jpg","video","https://video.twimg.com/ext_tw_video/1739640937058299904/pu/vid/avc1/320x568/GZG6W-bxlXBhBllc.mp4?tag=12",,,,,,,,,,"MSF France",,,"2023-12-26 14:54:30+00","11","552","101","https://twitter.com/MSF_france/status/1739660967095452125","14755217","MSF_france","33626","2024-06-06 18:25:17.291023+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"171918","result","6","2",,,,,,"#Gaza : le 9/12, une équipe #MSF a rouvert la clinique Al-Shaboura à Rafah  fermée depuis le début de la guerre. Dans cette localité les conditions de vie sont devenues épouvantables et l'état de santé  général de la population ne cesse de se dégrader. https://t.co/m7nEIatqpm","1739644176570933583","f","f","177",,,,,,,,,,,,,"MSF France",,,"2023-12-26 13:47:47+00","1","140","1","https://twitter.com/MSF_france/status/1739644176570933583","14755217","MSF_france","4388","2024-06-06 18:25:17.6862+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"171919","result","7","0",,,,,,"Une fois de plus, personne n'est en sécurité nulle part à #Gaza. Il faut un cessez-le feu durable et immédiat maintenant pour que des vies soient sauvées et permettre qu'une aide humanitaire massive à la hauteur des besoins soit acheminée sans entrave.","1739340672279159138","f","f","88",,,,,,,,,,,,,"MSF France",,,"2023-12-25 17:41:46+00","2","60","0","https://twitter.com/MSF_france/status/1739340672279159138","14755217","MSF_france","4103","2024-06-06 18:25:18.071066+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"171920","result","8","1",,,,,,"La population palestinienne vit tous les jours sous le feu des bombes. Dans ces conditions, l’accès aux soins de santé et à l’aide humanitaire est impossible. #CeasefireNow #CessezLeFeuMAINTENANT","1738501300147663137","f","f","27",,,,,,,,,,,,,"MSF France",,,"2023-12-23 10:06:24+00","0","17","0","https://twitter.com/MSF_france/status/1738501300147663137","14755217","MSF_france","1575","2024-06-06 18:25:18.473746+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"171921","result","9","1",,,,,,"[#Rétrospective] En 2023, les événements se sont succédé avec une intensité inédite. Pour autant, à chaque nouvelle  crise, #MSF a su se mobiliser pour  aider celles et ceux qui en avaient urgemment besoin. https://t.co/XnPKiXA6mj","1737804418148360499","f","f","24",,,,,,,,,,,,,"MSF France",,,"2023-12-21 11:57:14+00","1","16","0","https://twitter.com/MSF_france/status/1737804418148360499","14755217","MSF_france","1482","2024-06-06 18:25:18.920071+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
"171922","result","10","0",,,,,,"En s’engageant à réformer l’#AME dès le début de l’année prochaine, @Elisabeth_Borne a soumis ce dispositif indispensable à un marchandage politique honteux.","1737529724799197441","f","f","31",,,,,,,,,,,,,"MSF France",,,"2023-12-20 17:45:42+00","0","14","1","https://twitter.com/MSF_france/status/1737529724799197441","14755217","MSF_france","1255","2024-06-06 18:25:23.264232+00","https://twitter.com/search?q=%28from%3AMSF_france%29+until%3A2023-12-31+since%3A2023-01-01&src=typed_query&f=live"
