id,object,result_position,bookmarks_count,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,content,internal_unique_id,is_retweeted,is_quoted,likes,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,name,original_tweet_url,original_tweet_id,published_at,quote_count,retweet_count,reply_count,tweet_url,user_id,username,views_count,collected_at,input_url
"176632","result","1","1",,,,,,"Désastre humanitaire à #Gaza :  🔴 « Les conditions des hôpitaux, c’est du jamais vu. Il n’y a presque pas de matériel ni de médicaments. Les professionnels sont épuisés. »  Helena Ranchal, directrice Opérations Internationales @MdM_France au JT @TF1 👇 https://t.co/6ZxHdohUqV","1740738928611930487","f","f","163",,,,,,,,,,,,,"Médecins du Monde",,,"2023-12-29 14:17:56+00","1","157","18","https://twitter.com/MdM_France/status/1740738928611930487","113398253","MdM_France","8219","2024-06-06 20:16:19.805417+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"176633","result","2","3",,,,,,"INVITÉ RTL - #Gaza : ""Le nombre de morts est sous-évalué.""  🎙️ Itw de @JfCorty, vice-président @MdM_France, pour @RTLFrance 👇 https://t.co/SbHY0nFuAo","1740676581712875603","f","f","163",,,,,,,,,,,,,"Médecins du Monde",,,"2023-12-29 10:10:11+00","7","153","31","https://twitter.com/MdM_France/status/1740676581712875603","113398253","MdM_France","7437","2024-06-06 20:16:20.218874+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"176634","result","3","1",,,,,,"🔴 À #Gaza, les problématiques sanitaires s'aggravent chaque jour.   ""On ne peut rien faire dans les conditions actuelles avec cette magnitude de blessés, de malades et sans moyens. Il faut que tout cela s'arrête."" Helena Ranchal @MdM_France  #CeaseFireNOW https://t.co/xAlTxF8WSf","1740382802103902270","f","f","297",,,,,,,,,,,,,"Médecins du Monde",,,"2023-12-28 14:42:49+00","6","288","35","https://twitter.com/MdM_France/status/1740382802103902270","113398253","MdM_France","9692","2024-06-06 20:16:20.613363+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"176635","result","4","0",,,,,,"""Le CASA m'a donné comme une seconde chance.""  En #CôtedIvoire 🇨🇮, @MdM_France intervient auprès des personnes usagères de #drogues dans une démarche communautaire de promotion de la #santé. Ezéchiel témoigne.👇  A retrouver en entier sur Youtube➡️https://t.co/0OLmi4mIVD https://t.co/xu3Z8NcV6A","1740049879853125658","f","f","18","https://pbs.twimg.com/ext_tw_video_thumb/1740049281736679424/pu/img/zBOZpspzlJK30PFR.jpg","video","https://video.twimg.com/ext_tw_video/1740049281736679424/pu/vid/avc1/480x270/xu8j7Nqz6yyiuCFJ.mp4?tag=12",,,,,,,,,,"Médecins du Monde",,,"2023-12-27 16:39:54+00","1","6","0","https://twitter.com/MdM_France/status/1740049879853125658","113398253","MdM_France","2648","2024-06-06 20:16:21.016786+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"176636","result","5","13",,,,,,"#LoiImmigration : la mobilisation ne faiblit pas  70 organisations et + de 7000 professionnels du soin réunis pour dénoncer les conséquences sociales &amp; sanitaires de la loi.  Nous demandons solennellement à @EmmanuelMacron de ne pas promulguer ce texte.  ➡️https://t.co/v6R2fJt2tU https://t.co/a4gCrhVfXp","1739626168272158846","f","f","1050","https://pbs.twimg.com/media/GCRhyNAXoAAeeVd.jpg","photo","https://pbs.twimg.com/media/GCRhyNAXoAAeeVd.jpg",,,,,,,,,,"Médecins du Monde",,,"2023-12-26 12:36:13+00","16","707","69","https://twitter.com/MdM_France/status/1739626168272158846","113398253","MdM_France","46052","2024-06-06 20:16:21.462351+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"176637","result","6","1",,,,,,"#CeaseFireNOW  Lundi 18 décembre, en France et à l'international, nos équipes ont apporté leur soutien au combat pour un #cessezlefeu à #Gaza.  📢 Nous continuerons à interpeller les décideurs jusqu'à ce que ces attaques cessent enfin.  ✒️ La pétition https://t.co/wLIoGQYbGH https://t.co/55Ug5J7uX6","1738132598524706914","f","f","148","https://pbs.twimg.com/media/GB8VYBWXQAAuDAs.jpg","photo","https://pbs.twimg.com/media/GB8VYBWXQAAuDAs.jpg",,,,,,,,,,"Médecins du Monde",,,"2023-12-22 09:41:19+00","4","90","27","https://twitter.com/MdM_France/status/1738132598524706914","113398253","MdM_France","31541","2024-06-06 20:16:21.915809+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"176638","result","7","2",,,,,,"Dans une adresse au Président de la République @EmmanuelMacron,  Nous joignons notre voix à celle de 46 autres organisations, pour lui demander solennellement de surseoir à la promulgation de la #LoiImmigration.   Nous restons déterminé·e·s.  ➡️ https://t.co/X97JugLRZc https://t.co/BByUvC8AZJ","1737894999155511451","f","f","273","https://pbs.twimg.com/media/GB4-E85WYAAOqZv.jpg","photo","https://pbs.twimg.com/media/GB4-E85WYAAOqZv.jpg",,,,,,,,,,"Médecins du Monde",,,"2023-12-21 17:57:10+00","4","149","38","https://twitter.com/MdM_France/status/1737894999155511451","113398253","MdM_France","6754","2024-06-06 20:16:22.353243+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"176639","result","8","16",,,,,,"#LoiImmigration  Une véritable machine à stigmatiser, exclure et à précariser se met en place.  Tant de renoncements et de marchandages pour arriver à ces mesures d'extrême droite.  ➡️ Il est encore temps de ne pas promulguer ce texte @EmmanuelMacron   #CàVous https://t.co/kpvgbYfWsh","1737540258101686550","f","f","1828","https://pbs.twimg.com/media/GBz7QqzXgAAX44E.jpg","photo","https://pbs.twimg.com/media/GBz7QqzXgAAX44E.jpg",,,,,,,,,,"Médecins du Monde",,,"2023-12-20 18:27:34+00","23","946","206","https://twitter.com/MdM_France/status/1737540258101686550","113398253","MdM_France","73286","2024-06-06 20:16:22.768689+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"176640","result","9","0",,,,,,"#PJLimmigration #CMP  M. @BertrandPancher  Pour faire vivre cet « idéal de fraternité »,  Il est encore possible de stopper cette machine à précariser et d'éviter des mesures d'extrême droite dans notre législation. Vous les aviez combattus.  #directAN @naegelenchris @Castellani_ https://t.co/Vw5tCcc8FM","1737158453229990027","f","f","108","https://pbs.twimg.com/media/GBufYxrWMAAXiM1.jpg","photo","https://pbs.twimg.com/media/GBufYxrWMAAXiM1.jpg",,,,,,,,,,"Médecins du Monde",,,"2023-12-19 17:10:24+00","0","60","34","https://twitter.com/MdM_France/status/1737158453229990027","113398253","MdM_France","4482","2024-06-06 20:16:23.145685+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
"176641","result","10","8",,,,,,"#CMP   Mmes et MM. @deputesDem, @jp_mattei @elodiejala @erwanbalanant   Ce soir, une page décisive de notre histoire collective est entre vos mains.  Nous vous invitons à vous opposer au #PJLimmigration et à ses dispositions contraires à vos idéaux humanistes. 👇  #directAN https://t.co/Sn2XuieqWN","1737154769435639880","f","f","665","https://pbs.twimg.com/media/GBub94AWYAAiZeP.jpg","photo","https://pbs.twimg.com/media/GBub94AWYAAiZeP.jpg",,,,,,,,,,"Médecins du Monde",,,"2023-12-19 16:55:46+00","30","376","178","https://twitter.com/MdM_France/status/1737154769435639880","113398253","MdM_France","109452","2024-06-06 20:16:23.561338+00","https://twitter.com/search?q=(from%3AMdM_France)%20until%3A2023-12-31%20since%3A2023-01-01&src=typed_query&f=live"
