id,tweet_url,published_at,username,content,likes,retweet_count,reply_count,quote_count,views_count,bookmarks_count,media_0_type,media_0_url,is_retweeted,is_quoted
176632,https://twitter.com/MdM_France/status/1740738928611930487,2023-12-29 14:17:56+00,MdM_France,"Désastre humanitaire à #Gaza :  🔴 « Les conditions des hôpitaux, c’est du jamais vu. Il n’y a presque pas de matériel ni de médicaments. Les professionnels sont épuisés. »  Helena Ranchal, directrice Opérations Internationales @MdM_France au JT @TF1 👇 https://t.co/6ZxHdohUqV",163,157,18,1,8219,1,,,f,f
176633,https://twitter.com/MdM_France/status/1740676581712875603,2023-12-29 10:10:11+00,MdM_France,"INVITÉ RTL - #Gaza : ""Le nombre de morts est sous-évalué.""  🎙️ Itw de @JfCorty, vice-président @MdM_France, pour @RTLFrance 👇 https://t.co/SbHY0nFuAo",163,153,31,7,7437,3,,,f,f
176634,https://twitter.com/MdM_France/status/1740382802103902270,2023-12-28 14:42:49+00,MdM_France,"🔴 À #Gaza, les problématiques sanitaires s'aggravent chaque jour.   ""On ne peut rien faire dans les conditions actuelles avec cette magnitude de blessés, de malades et sans moyens. Il faut que tout cela s'arrête."" Helena Ranchal @MdM_France  #CeaseFireNOW https://t.co/xAlTxF8WSf",297,288,35,6,9692,1,,,f,f
176635,https://twitter.com/MdM_France/status/1740049879853125658,2023-12-27 16:39:54+00,MdM_France,"""Le CASA m'a donné comme une seconde chance.""  En #CôtedIvoire 🇨🇮, @MdM_France intervient auprès des personnes usagères de #drogues dans une démarche communautaire de promotion de la #santé. Ezéchiel témoigne.👇  A retrouver en entier sur Youtube➡️https://t.co/0OLmi4mIVD https://t.co/xu3Z8NcV6A",18,6,0,1,2648,0,video,https://video.twimg.com/ext_tw_video/1740049281736679424/pu/vid/avc1/480x270/xu8j7Nqz6yyiuCFJ.mp4?tag=12,f,f
176636,https://twitter.com/MdM_France/status/1739626168272158846,2023-12-26 12:36:13+00,MdM_France,#LoiImmigration : la mobilisation ne faiblit pas  70 organisations et + de 7000 professionnels du soin réunis pour dénoncer les conséquences sociales &amp; sanitaires de la loi.  Nous demandons solennellement à @EmmanuelMacron de ne pas promulguer ce texte.  ➡️https://t.co/v6R2fJt2tU https://t.co/a4gCrhVfXp,1050,707,69,16,46052,13,photo,https://pbs.twimg.com/media/GCRhyNAXoAAeeVd.jpg,f,f
176637,https://twitter.com/MdM_France/status/1738132598524706914,2023-12-22 09:41:19+00,MdM_France,"#CeaseFireNOW  Lundi 18 décembre, en France et à l'international, nos équipes ont apporté leur soutien au combat pour un #cessezlefeu à #Gaza.  📢 Nous continuerons à interpeller les décideurs jusqu'à ce que ces attaques cessent enfin.  ✒️ La pétition https://t.co/wLIoGQYbGH https://t.co/55Ug5J7uX6",148,90,27,4,31541,1,photo,https://pbs.twimg.com/media/GB8VYBWXQAAuDAs.jpg,f,f
176638,https://twitter.com/MdM_France/status/1737894999155511451,2023-12-21 17:57:10+00,MdM_France,"Dans une adresse au Président de la République @EmmanuelMacron,  Nous joignons notre voix à celle de 46 autres organisations, pour lui demander solennellement de surseoir à la promulgation de la #LoiImmigration.   Nous restons déterminé·e·s.  ➡️ https://t.co/X97JugLRZc https://t.co/BByUvC8AZJ",273,149,38,4,6754,2,photo,https://pbs.twimg.com/media/GB4-E85WYAAOqZv.jpg,f,f
176639,https://twitter.com/MdM_France/status/1737540258101686550,2023-12-20 18:27:34+00,MdM_France,"#LoiImmigration  Une véritable machine à stigmatiser, exclure et à précariser se met en place.  Tant de renoncements et de marchandages pour arriver à ces mesures d'extrême droite.  ➡️ Il est encore temps de ne pas promulguer ce texte @EmmanuelMacron   #CàVous https://t.co/kpvgbYfWsh",1828,946,206,23,73286,16,photo,https://pbs.twimg.com/media/GBz7QqzXgAAX44E.jpg,f,f
176640,https://twitter.com/MdM_France/status/1737158453229990027,2023-12-19 17:10:24+00,MdM_France,"#PJLimmigration #CMP  M. @BertrandPancher  Pour faire vivre cet « idéal de fraternité »,  Il est encore possible de stopper cette machine à précariser et d'éviter des mesures d'extrême droite dans notre législation. Vous les aviez combattus.  #directAN @naegelenchris @Castellani_ https://t.co/Vw5tCcc8FM",108,60,34,0,4482,0,photo,https://pbs.twimg.com/media/GBufYxrWMAAXiM1.jpg,f,f
176641,https://twitter.com/MdM_France/status/1737154769435639880,2023-12-19 16:55:46+00,MdM_France,"#CMP   Mmes et MM. @deputesDem, @jp_mattei @elodiejala @erwanbalanant   Ce soir, une page décisive de notre histoire collective est entre vos mains.  Nous vous invitons à vous opposer au #PJLimmigration et à ses dispositions contraires à vos idéaux humanistes. 👇  #directAN https://t.co/Sn2XuieqWN",665,376,178,30,109452,8,photo,https://pbs.twimg.com/media/GBub94AWYAAiZeP.jpg,f,f
176642,https://twitter.com/MdM_France/status/1737070054133346638,2023-12-19 11:19:08+00,MdM_France,#CeaseFireNOW  Le Conseil de sécurité des Nations unies votera cet après-midi une résolution sur l'accès humanitaire à #Gaza.  🔴 Combien de morts faudra-t-il encore pour que @USUN et @UKUN_NewYork votent pour un #cessezlefeuMAINTENANT ? https://t.co/U3udbKtiQv,46,33,1,1,1913,0,photo,https://pbs.twimg.com/media/GBtPJdPWQAEcwvi.png,f,f
